Unnamed: 0,Content
0,"Le présent contrat a pour objet l'achat par l'acheteur, de ....
"
1,"Le vendeur s'organise pour livrer le produit dans le bon conditionnement et le délai raisonnable. A cet effet, elle est chargée de la vérification du produit et d'assurer la sécurité dudit produit.
"
2,"La somme que doit payer l'acheteur est de ... dt au plus tard le ....
"
3,"En cas de litige, ce sont les tribunaux tunisiens qui auront la compétence de trancher l'affaire."
